DOEL012	Nein, du kleiner Einfaltspinsel. Irgendwas ist hier während unserer Abwesenheit mächtig schief gelaufen. Anders ist das nicht zu erklären.
DOGB013	Hey!! Da ist Timmy der Affe. Wie geht's alter Junge?
DOGB014	Entweder sein Mülleimer ist voll oder er möchte uns etwas sagen. Was ist los, Kleiner?
DOGB018	Gibt es kostenlose Drinks in der SCUMM-Bar?
DOEL019	Ist kürzlich der Skorbut ausgebrochen?
DOGB020	Du hast beim Bingo 80 Mäuse gewonnen und sie beim Bananen-Wettessen wieder verloren?
DOGB021	Es gibt Ärger in der Gouverneursvilla? Nichts wie hin!
DOEL022	Ärger in der Gouverneursvilla? Nichts wie hin!
E1EL001	... Und sollte ich wieder gewählt werden, verspreche ich, dass die Männer und Frauen von Melee Island auch weiterhin stolz auf ihre Piratentradition und ihre Lebensweise sein können!
E1HK002	Wie wär's mit 'nem Fest und Grog für alle?
E1EL003	Äh ... Bitte?
E1HK004	Charles L. Charles verspricht uns Feste und Grog für alle.
E1EL005	Und?
E1HK006	Nun, was können Sie uns bieten?
E1EL007	Was? Reichen euch wirtschaftliche Stabilität und persönliche Freiheit etwa nicht?
E1HK008	Ehrlich gesagt, wäre uns der Grog lieber.
E1CR009	Jaa! Grog, Grog, Grog, Grog!
E1CR011	Buh! Hah! Dämlich. Wieso nicht?
E2EL004	RUHE! Piraten und Piratinnen, merkt ihr nicht, dass dieser Mann sich eure Stimme mit billigen Slogans und faulen Tricks erkaufen möchte?
E2CR005	Grog, Grog, Grog, Grog!
BABM001	Hm. Ja. Hmm. Nun, anscheinend ist alles in Ordnung, Mr. Marley ...
BAGB002	Ich heiße "Mr. Threepwood".
NOCD013	Schnauze halten!
H1EL014	(Gähnt) Das ist ja wirklich (gähnt) aufregend, Liebling! Kurz gesagt: Ein böser australischer Geldsack namens Ozzie Mandrill kauft alle Inseln der Karibik auf ...
H1GB015	Richtig.
H1EL016	... und weil er alle Piraten hasst, möchte er sie loswerden. 
H1GB017	Stimmt.
H1EL018	Deshalb sucht er nach dem Geheimnis der so genannten "Ultimativen Beleidigung", ...
H1GB019	Genau.
H1EL020	... die er in dem Sack mit Gerümpel, den du in der Nummerntruhe meines Großvaters gefunden hast, vermutet.
H1GB021	Jo.
H1EL022	Aus diesem Grund hat er Pegnose Pete angeheuert, um die Beute meines Großvaters zu stehlen und dir den Raub in die Schuhe zu schieben.
H1GB023	Genauso war's.
H1GB026	Mann, diese LucasArt-Adventures werden auch immer kürzer ... Aha!
MEGB001	Damit dürfte ihm die Luft ausgehen.
MELU002	Ah. Voilà! Jetzt ist es so gut wie neu. Häää? Was iist daas? Die Boote! Sie ste'en stil. Das kann nischt sein!

MEGB004	Wow. Wachs ist wirklich Meathooks Lieblingsmedium.
MADL001	Woher zum Achterdeck soll ich das wissen?
MADL002	Ich habe Neuigkeiten, du alte Kielpumpe; das schert mich keine feuchte Deckplanke. 
MADL003	Nimm dich vor diesem Kerl in Acht. Er denkt, nur weil ich an einem Schiff hänge, kenne ich jede verdammte Insel der sieben Meere. Was für'n Speigattlecker. Ooh, seht mich aaan! Ich bin Guybrush Threepschutt. Ich bin ein mächtig DÄÄÄMLICHER Pirat!
UIGB001	Eine Frage. Du weißt nicht zufällig etwas über die Ultimative Beleidigung, oder?
UIDL002	Ultimative Beleidigung? Kannst du haben, Blödmann!
UIGB003	Heißt das eventuell JA?
UIDL004	Bist du taub? Also, noch mal zum Mitschreiben, du faulender Eimer Haiköder: Ich weiß nichts über deine dämliche Beleidigung.
UIDL005	Und selbst wenn ich was wüsste ... bei Neptuns Hüftgürtel ... Ich würde es einem Algen fressenden Möchtegern nicht sagen!
H2GB030	Hey, ich bin eine Geisel, vergiss das nicht!
H2OZ032	Nein, wir brauchen ihn noch, falls seine vorwitzige Frau hier auftaucht und irgendeine Heldentat aus dem Hut zaubert.
H2GB033	Jaa! Hey, wo ist eigentlich meine vorwitzige Frau?
H2OZ036	Hm, jetzt haben wir den Salat. Wir brauchen diesen Schwachkopf tatsächlich als Geisel.
H2LC037	Ich bleibe dabei: Wir sollten ihn kielholen. Guybrush hat mit seiner unseligen Stümperei schon drei meiner ruchlosesten Pläne durchkreuzt. Ich finde, das reicht!
HEHN001	Autsch! Ah. Was zum Teufel ...
HEGB002	Tut mir Leid.
HEHN003	Hey, jetzt weiß ich, wo ich meine Hosen liegen gelassen habe!
HEGB004	Das ist ja, äh, toll ... Glaube ich! Äh. Was ist mit Ozzie Mandrill?
HEGB006	Herman?
HEGB008	Der einzig Wahnsinnige hier sind Sie, aber ich höre.
HEGB037	Was soll das, Gouverneur? Wir müssen Melee Island gemeinsam vor Ozzie und LeChuck retten!
HEHN038	LeChuck ist darin verwickelt?
HEGB039	Ähm, nun, ehrlich gesagt ... Er ist der neue Gouverneur von Melee Island.
HEHN040	Potzblitz! Und was ist mit meiner Enkelin?
HEGB041	Sie ist unmittelbar nach der Wahl verschwunden.
HEHN042	Puh, ich bin erleichtert.
HEGB043	Warum?
HEHN044	Weil ich Ozzie EIN Geheimnis nicht verraten habe; das Geheimnis des vierten Teils der Ultimativen Beleidigung.
HEGB045	Der Teil, der eng mit dem Amt des Gouverneurs von Melee Island verbunden ist? Elaine und ich haben uns bereits die Köpfe darüber zerbrochen. Was ist es?
HEHN046	Es ist ...
HEGB047	Ja?
HEHN048	Das!
HEGB049	Sieht aus wie das Gouverneurssiegel von Melee Island.
HEHN050	Das IST das Gouverneurssiegel von Melee Island. Äh, wenigstens eines davon. Weißt du, ein guter Gouverneur hat immer ein Siegel in Reserve. – Falls das Original einmal verloren geht. He, he, he. Das Siegel ist der Schlüssel, mit dem die schreckliche Macht der Ultimativen Beleidigung entfesselt wird. Ohne das Siegel ist der Talisman so gefährlich wie eine Rumbakugel. Sag schon, Guybrush, wo ist das andere Gouverneurssiegel?
HEGB051	Ich nehme an, Elaine hat es. Sie lässt es nie aus den Augen.
EYP3006	Ach, halt's Maul.
OZGB001	Das ist ein großer Schritt für einen Mann, aber nur ein winziger Hebel für einen Riesen-Roboteraffen.
OZOZ002	Sehen Sie, ...
OZOZ003	... ich habe Ihrem Großvater, diesem alten Säufer, das Geheimnis der Ultimativen Beleidigung entlockt.
OZGB004	Nein!
OZOZ005	Ich habe auch das Schiff sabotiert!
OZEL006	NEIN!
OZOZ007	Und ich war es auch, der ihn in sein nasses Grab vor der Küste Australiens geschickt hat.
OZEL008	Du ... Riesen ... ar - meleutefresser!
OZLC046	Ich werde diesem Weichei jetzt zeigen, was ECHTER Voodoo ist!
OZOZ065	Ahhhhhhhhh!
OZEL068	Guybrush, Hilfe!
OZOZ077	Ihm nach!
FIJJ005	Ewwwwww...... Yeaaaaaah..... Ewwwwwww......
EPGB001	Elaine!
EPEL002	Großpaps!
EPHN003	Mein Engel!
EPGB004	Äh. Jojo!
EPJJ005	Denk nicht mal dran, Weichei!
EPHN006	Guybrush, wie kann ich dir je danken, dass du mich zu meiner Enkelin zurückgebracht hast?
EPGB007	Nun, für den Anfang. Wie wäre es mit einer Hose?
EPHN008	Hehe! Ist schon so gut wie erledigt.
EPGB009	Außerdem ...
EPHN010	Ja?
EPGB011	Würden Sie bitte wieder Gouverneur von Melee Island werden?
EPHN012	Oh, oh. Keine Chance. Ich habe den Job immer gehasst. Warum glaubst du wohl, bin ich bis nach Australien gesegelt? Wegen des schlechten Essens?
EPEL013	Bitte, Großvater. Ich halte es als Gouverneurin nicht länger aus. Mir fehlt das Piratenleben. Guybrush und ich brauchen die offene See, Schwertkämpfe, Abenteuer. Wir sind zu jung für eine Bürokraten-Karriere!
EPHN014	Tja. He, he, he. Einverstanden ... Aber wehe, Ihr besucht mich nicht!
EPEL015	Jeden Monat!
EPHN016	Und ich erwarte jede Menge kleine Piraten-Urenkel.
EPGB017	Ähm. He. Mal sehen, was sich machen lässt. Hah.
EPJJ018	Und damit schließt sich der Kreis des Lebens.
EPEL019	Hey, der Affe kann ja sprechen!
EPGB020	Oh. Elaine. Darf ich vorstellen: Jojo Jr., der Affenprinz von Monkey Island.
EPEL021	Gut. Danke, edler Jojo. Dank deiner Hilfe sind die sieben Meere für uns Piraten endlich wieder sicher!
EPJJ022	Es war mir ein großes Vergnügen, Mrs. Threepwood. Aber nun muss ich Sie leider verlassen. Irgendwo dort draußen gibt es für meine Brüder und mich mit Sicherheit etwas zu erledigen!
EPGB023	Wohin gehst du?
EPJJ024	Hm, keine Ahnung. Wie ich höre, ist Martha's Vineyard um diese Jahreszeit sehr schön. Aber zuerst möchte ein Mitglied unserer Crew von Bord gehen. 
EPEL025	Timmy!
EPTI026	Oop Ak!
EPJJ027	Lebt wohl, ihr alle!
EPGB028	Leb wohl, Jojo! Wir werden dich nie vergessen!
EPGB029	Natürlich werde ich ihn nie vergessen. Immerhin ist er ein sprechender Affe. Wenn das nicht krank ist?
