DOEL012	Nie mato³eczku. Podczas mojej nieobecnoœci sta³o siê coœ strasznego. Nie widzê innego wyt³umaczenia...
DOGB013	Hej! To ma³pka Timmy! Jak siê masz, ma³y?
DOGB014	Albo ma pe³n¹ kuwetê albo chce nam coœ powiedzieæ. O co chodzi?
DOEL016	Timmy, coœ nie tak?
DOGB018	Darmowy grog w SCUMM Barze?
DOEL019	Wybuch³a epidemia szkorbutu?
DOGB020	Wygra³eœ 74 dolce w bingo, ale przegra³eœ je w spadaj¹ce ma³pki?
DOGB021	K³opoty w willi gubernator?! Szybko!
DOEL022	K³opoty w willi gubernator?! Szybko!
E1EL001	...i jeœli wygram te wybory, obiecujê, ¿e Wyspa Szpady™ pozostanie miejscem, gdzie nikt nie bêdzie musia³ wstydziæ siê swych pirackich tradycji i przekonañ!
E1HK002	A co z hulankami i darmowym grogiem?
E1EL003	S³ucham?
E1HK004	Charles L. Charles obieca³ nam hulanki i darmowy grog!
E1EL005	No i?
E1HK006	A co ty chcesz nam daæ?
E1EL007	Co? Ekonomiczna stabilizacja i wolnoœæ osobista to dla was za ma³o?
E1HK008	Jeœli nie robi ci to ró¿nicy, wolelibyœmy darmowy grog.
E1CR009	Tak! Grog, grog, grog, grog!
E1CR011	Buu! Jesteœmy g³upi?
e1cr011a	Buu! Jesteœmy g³upi?
E2EL004	CISZA! Drodzy piraci, czy nie widzicie, ¿e ten cz³owiek próbuje was przekupiæ pustymi sloganami i tanimi sztuczkami?
E2CR005	Grog, grog, grog, grog!
BABM001	Hmm... Tak. Có¿, chyba wszystko siê zgadza, panie Marley...
BAGB002	Nazywam siê "Threepwood".
NOCD013	Cicho b¹dŸ!
H1EL014	(Ziew) To by³o, um, (ziew) porywaj¹ce, skarbie. A teraz popraw mnie jeœli siê mylê: z³y australijski magnat, Ozzie Mandrill, wykupuje ca³¹ ziemiê na Karaibach...
H1GB015	Tak.
H1EL016	Ale nienawidzi piratów i chce siê ich pozbyæ...
H1GB017	Tak.
H1EL018	Dlatego szuka przedmiotu zwanego Talizmanem Upokorzenia...
H1GB019	Tak jest.
H1EL020	I uwa¿a, ¿e znajdzie go w worku rupieci, który znalaz³eœ w skrzyni z depozytem mego zmar³ego dziadka...
H1GB021	No.
